0, 42.80
1, 43.79
2.0, 57.17
2.9, 57.17
3.9, 57.17
4.9, 60.34
5.9, 60.34
6.8, 63.12
7.8, 63.12
8.8, 63.12
9.8, 63.12
10.7, 63.12
11.7, 63.43
12.7, 69.41
13.7, 78.43
14.6, 79.57
15.6, 83.26
16.6, 87.27
17.6, 89.68
18.6, 91.09
19.5, 91.88
20.5, 94.84
21.5, 99.87
22.5, 100.62
23.4, 101.44
24.4, 104.45
25.4, 104.45
26.4, 104.45
27.3, 105.53
28.3, 105.73
29.3, 109.26
30.3, 108.94
31.2, 112.44
32.2, 113.47
33.2, 119.34
34.2, 117.56
35.2, 119.34
36.1, 119.34
37.1, 119.89
38.1, 119.34
39.1, 119.34
40.0, 120.57
41.0, 121.89
42.0, 120.57
43.0, 122.18
43.9, 122.49
44.9, 122.49
45.9, 122.18
46.9, 122.18
47.9, 122.18
48.8, 124.93
49.8, 124.99
50.8, 124.99
51.8, 127.26
52.7, 129.53
53.7, 127.73
54.7, 129.53
55.7, 129.56
56.6, 129.56
57.6, 129.56
58.6, 129.56
59.6, 129.75
60.5, 129.75
61.5, 129.56
62.5, 130.56
63.5, 130.57
64.5, 131.57